Battery_ID,Cycle,Capacity,AvgVoltage,AvgCurrent,AvgTemp,SOH,Re,Rct,RUL
B0001,1,1.8808,3.5154,-1.8171,32.5985,100.48,0.04488,0.07027,177
B0001,2,1.8726,3.5205,-1.8076,32.4272,100.04,0.04286,0.06964,176
B0001,3,1.8708,3.5271,-1.8197,32.5909,99.95,0.04331,0.07139,175
B0001,4,1.8614,3.5256,-1.8122,32.3893,99.44,0.04385,0.06843,174
B0001,5,1.8722,3.5028,-1.8032,32.5962,100.02,0.04472,0.07138,173
B0001,6,1.8692,3.5285,-1.8031,32.7216,99.86,0.04242,0.07321,172
B0001,7,1.8493,3.5187,-1.8141,32.3796,98.79,0.04453,0.07115,171
B0001,8,1.8677,3.5116,-1.8042,32.5718,99.78,0.04203,0.0695,170
B0001,9,1.8629,3.5183,-1.8066,32.5551,99.52,0.04433,0.06943,169
B0001,10,1.8585,3.5389,-1.8153,32.5544,99.29,0.04182,0.07351,168
B0001,11,1.8632,3.5209,-1.8087,32.7883,99.54,0.04304,0.07183,167
B0001,12,1.8684,3.5433,-1.8024,32.8124,99.82,0.04273,0.07208,166
B0001,13,1.864,3.518,-1.8023,32.5313,99.58,0.04397,0.06891,165
B0001,14,1.8645,3.5214,-1.8093,32.6238,99.61,0.04417,0.07297,164
B0001,15,1.8649,3.51,-1.8088,32.6385,99.63,0.04549,0.07091,163
B0001,16,1.8554,3.5249,-1.8131,32.7841,99.12,0.04554,0.07032,162
B0001,17,1.8512,3.5136,-1.8184,32.7206,98.9,0.04684,0.07656,161
B0001,18,1.8569,3.5197,-1.817,32.7994,99.2,0.04537,0.0728,160
B0001,19,1.8449,3.5228,-1.8038,32.7062,98.56,0.04559,0.07086,159
B0001,20,1.8677,3.5277,-1.8061,32.4611,99.78,0.04579,0.07512,158
B0001,21,1.8605,3.5108,-1.8144,32.9136,99.39,0.04558,0.0755,157
B0001,22,1.8453,3.5339,-1.8126,33.2395,98.58,0.04653,0.07327,156
B0001,23,1.8455,3.509,-1.8196,32.7608,98.59,0.04383,0.07426,155
B0001,24,1.8512,3.5159,-1.8073,32.9812,98.9,0.04678,0.07612,154
B0001,25,1.8388,3.5161,-1.813,33.0111,98.24,0.04612,0.07627,153
B0001,26,1.8366,3.52,-1.8144,33.1023,98.11,0.04621,0.07156,152
B0001,27,1.8333,3.5052,-1.8139,32.6707,97.94,0.04443,0.07563,151
B0001,28,1.8492,3.5309,-1.8128,32.6258,98.79,0.04518,0.07198,150
B0001,29,1.8421,3.5199,-1.8116,32.6759,98.41,0.0455,0.07639,149
B0001,30,1.8312,3.5287,-1.8112,32.9719,97.83,0.04628,0.07551,148
B0001,31,1.8377,3.5057,-1.8139,33.0426,98.18,0.04654,0.07521,147
B0001,32,1.8329,3.5154,-1.8172,32.6436,97.92,0.04836,0.07602,146
B0001,33,1.8281,3.5063,-1.8163,32.8786,97.66,0.04682,0.07979,145
B0001,34,1.8305,3.5048,-1.8069,33.152,97.79,0.04591,0.07621,144
B0001,35,1.8325,3.4991,-1.8181,32.8121,97.9,0.04785,0.07651,143
B0001,36,1.8136,3.5016,-1.8092,33.1803,96.89,0.04989,0.0765,142
B0001,37,1.8157,3.5228,-1.8085,32.8337,97.0,0.04809,0.08014,141
B0001,38,1.8145,3.5157,-1.8157,32.8621,96.94,0.04923,0.079,140
B0001,39,1.8153,3.5044,-1.8064,32.9383,96.98,0.04783,0.08088,139
B0001,40,1.8271,3.5266,-1.8006,33.029,97.61,0.04737,0.08138,138
B0001,41,1.7997,3.5052,-1.815,33.1313,96.15,0.0467,0.08227,137
B0001,42,1.8023,3.5175,-1.8093,32.9428,96.29,0.0495,0.07715,136
B0001,43,1.82,3.5178,-1.8103,33.2014,97.23,0.04806,0.08049,135
B0001,44,1.7904,3.5348,-1.8006,33.2606,95.65,0.04872,0.08054,134
B0001,45,1.8038,3.5102,-1.8121,33.361,96.36,0.04931,0.07986,133
B0001,46,1.8112,3.5216,-1.8018,33.2366,96.76,0.04983,0.07779,132
B0001,47,1.7905,3.5164,-1.815,32.8892,95.65,0.04859,0.07638,131
B0001,48,1.8016,3.5222,-1.8051,33.3261,96.24,0.05115,0.07757,130
B0001,49,1.8004,3.5121,-1.8113,33.3638,96.18,0.04845,0.08006,129
B0001,50,1.7914,3.5231,-1.8061,32.9659,95.7,0.04977,0.0819,128
B0001,51,1.7958,3.5256,-1.8017,33.4671,95.94,0.04965,0.08067,127
B0001,52,1.7947,3.4946,-1.8154,33.2388,95.88,0.05006,0.08136,126
B0001,53,1.798,3.5035,-1.8118,33.2315,96.05,0.04976,0.08221,125
B0001,54,1.789,3.5164,-1.8118,33.4341,95.57,0.05238,0.08011,124
B0001,55,1.7813,3.5031,-1.8034,33.326,95.16,0.05085,0.08668,123
B0001,56,1.7854,3.5298,-1.8049,33.2637,95.38,0.05267,0.08477,122
B0001,57,1.7851,3.4957,-1.8024,33.445,95.37,0.05054,0.083,121
B0001,58,1.7807,3.5003,-1.8116,33.7298,95.13,0.05264,0.08489,120
B0001,59,1.7667,3.527,-1.8078,33.3143,94.38,0.05205,0.08593,119
B0001,60,1.7723,3.5055,-1.8095,33.5054,94.68,0.05205,0.08929,118
B0001,61,1.7724,3.498,-1.8191,33.3051,94.69,0.05328,0.08717,117
B0001,62,1.7733,3.5206,-1.812,33.37,94.73,0.05021,0.08847,116
B0001,63,1.7624,3.5068,-1.8005,33.4985,94.15,0.05128,0.08904,115
B0001,64,1.7683,3.5016,-1.8129,33.8645,94.47,0.05108,0.08484,114
B0001,65,1.7649,3.505,-1.8062,33.373,94.29,0.05171,0.0866,113
B0001,66,1.7678,3.5252,-1.8153,33.581,94.44,0.05288,0.08671,112
B0001,67,1.7443,3.5128,-1.805,33.1147,93.19,0.05312,0.08947,111
B0001,68,1.7486,3.5145,-1.8032,33.0707,93.42,0.05217,0.08864,110
B0001,69,1.7648,3.4909,-1.807,33.6045,94.28,0.05341,0.08881,109
B0001,70,1.7467,3.4998,-1.802,33.4255,93.31,0.05546,0.09271,108
B0001,71,1.7486,3.4895,-1.8155,33.5268,93.42,0.05191,0.09135,107
B0001,72,1.7466,3.5264,-1.8036,33.6264,93.31,0.05389,0.0926,106
B0001,73,1.757,3.5212,-1.8058,33.3582,93.87,0.0565,0.09035,105
B0001,74,1.7289,3.4958,-1.8136,33.5885,92.36,0.05505,0.09318,104
B0001,75,1.7449,3.5051,-1.8063,33.2908,93.22,0.05209,0.09608,103
B0001,76,1.7447,3.4943,-1.8118,33.8835,93.2,0.05569,0.09345,102
B0001,77,1.7296,3.5135,-1.804,33.7112,92.4,0.05438,0.09413,101
B0001,78,1.7374,3.5063,-1.811,33.7983,92.82,0.05548,0.0939,100
B0001,79,1.7281,3.5128,-1.8129,33.4619,92.32,0.05572,0.08921,99
B0001,80,1.7272,3.5067,-1.8061,33.3278,92.27,0.05533,0.09125,98
B0001,81,1.7253,3.5252,-1.805,33.7044,92.17,0.05631,0.09573,97
B0001,82,1.7199,3.4999,-1.8093,33.5974,91.88,0.05609,0.09341,96
B0001,83,1.7035,3.5023,-1.8118,33.824,91.01,0.05467,0.10203,95
B0001,84,1.719,3.4986,-1.8115,33.477,91.83,0.05748,0.09718,94
B0001,85,1.7099,3.4994,-1.818,34.0582,91.35,0.05616,0.09835,93
B0001,86,1.7081,3.4852,-1.8163,33.8535,91.25,0.05549,0.09671,92
B0001,87,1.72,3.4903,-1.8051,33.5856,91.89,0.0552,0.09863,91
